# Digitized traces from Genet et al. (2023), their Fig 9 (fiber angle +-alpha [deg]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,45,10.39,0.8706
pressure,45,12.12,0.8706
pressure,45,13.85,0.8706
pressure,45,15.58,0.8706
pressure,45,17.32,0.8706
pressure,45,19.05,0.8706
pressure,45,20.78,0.8706
pressure,45,22.51,0.8706
pressure,45,24.24,0.8706
pressure,45,25.97,0.8706
pressure,45,27.71,0.8706
pressure,45,29.44,0.8706
pressure,45,31.17,0.8706
pressure,45,32.90,0.8706
pressure,45,34.63,0.8706
pressure,45,36.36,0.8706
pressure,45,38.10,0.8706
pressure,45,39.83,0.8706
pressure,45,41.56,0.8706
pressure,45,43.29,0.8706
pressure,45,45.02,0.8706
pressure,45,46.75,0.8706
pressure,45,48.48,0.8706
pressure,45,50.22,0.8706
pressure,45,51.95,0.8706
pressure,45,53.68,0.8706
pressure,45,55.41,0.8706
pressure,45,57.14,0.8706
pressure,45,58.87,0.8706
pressure,45,60.61,0.8706
pressure,45,62.34,0.8706
pressure,45,64.07,0.8706
pressure,45,65.80,0.8706
pressure,45,67.53,0.8706
pressure,45,69.26,0.8706
pressure,45,71.00,0.8706
pressure,45,72.73,0.8706
pressure,45,74.46,0.8706
pressure,45,76.19,0.8706
pressure,45,77.92,0.8706
pressure,45,79.65,0.8706
pressure,45,81.39,0.8706
pressure,45,83.12,0.8706
pressure,45,84.85,0.8706
pressure,45,86.58,0.8706
pressure,45,88.31,0.8706
pressure,45,90.04,0.8706
pressure,45,91.77,0.8706
pressure,45,93.51,0.8706
pressure,45,95.24,0.8706
pressure,45,96.97,0.8706
pressure,45,98.70,0.8706
pressure,45,100.43,0.8706
pressure,45,102.16,0.8706
pressure,45,103.90,0.8706
pressure,45,105.63,0.8706
pressure,45,107.36,0.8706
pressure,45,109.09,0.8706
pressure,45,110.82,0.8706
pressure,45,112.55,0.9239
pressure,45,114.29,0.9416
pressure,45,116.02,1.0127
pressure,45,117.75,1.0838
pressure,45,119.48,1.1726
pressure,45,121.21,1.2792
pressure,45,122.94,1.4213
pressure,45,124.68,1.5635
pressure,45,126.41,1.7056
pressure,45,128.14,1.8832
pressure,45,129.87,2.0609
pressure,45,131.60,2.2386
pressure,45,133.33,2.4518
pressure,45,135.06,2.6650
pressure,45,136.80,2.8959
pressure,45,138.53,3.1091
pressure,45,140.26,3.3401
pressure,45,141.99,3.5888
pressure,45,143.72,3.8198
pressure,45,145.45,4.7970
pressure,45,147.19,5.0635
pressure,45,148.92,5.3477
pressure,45,150.65,5.6320
pressure,45,152.38,5.9340
pressure,45,154.11,6.2360
pressure,45,155.84,6.5203
pressure,45,157.58,6.8401
pressure,45,159.31,7.1244
pressure,45,161.04,7.3909
pressure,45,162.77,7.7107
pressure,45,164.50,7.9949
pressure,45,166.23,8.2792
pressure,45,167.97,8.5635
pressure,45,169.70,8.8477
pressure,45,171.43,9.1142
pressure,45,173.16,9.3629
pressure,45,174.89,9.6117
pressure,45,176.62,9.8426
pressure,45,178.35,10.0381
pressure,45,180.09,10.2335
pressure,45,181.82,10.4645
pressure,45,183.55,10.6599
pressure,45,185.28,10.8731
pressure,45,187.01,11.0330
pressure,45,188.74,11.1929
pressure,45,190.48,11.3528
pressure,45,192.21,11.4949
pressure,45,193.94,11.6193
pressure,45,195.67,11.7437
pressure,45,197.40,11.8503
pressure,45,199.13,11.9213
pressure,45,200.87,12.0102
pressure,45,202.60,12.0812
pressure,45,204.33,12.1523
pressure,45,206.06,12.1878
pressure,45,207.79,12.2589
pressure,45,209.52,12.2589
pressure,45,211.26,12.2944
pressure,45,212.99,12.2944
pressure,45,214.72,12.3122
pressure,45,216.45,12.3122
pressure,45,218.18,12.3477
pressure,45,219.91,12.3477
pressure,45,221.65,12.3655
pressure,45,223.38,12.3655
pressure,45,225.11,12.3832
pressure,45,226.84,12.3832
pressure,45,228.57,12.3832
pressure,45,230.30,12.3477
pressure,45,232.03,12.3477
pressure,45,233.77,12.3477
pressure,45,235.50,12.3477
pressure,45,237.23,12.3122
pressure,45,238.96,12.3122
pressure,45,240.69,12.3122
pressure,45,242.42,12.2766
pressure,45,244.16,12.2766
pressure,45,245.89,12.2589
pressure,45,247.62,12.2411
pressure,45,249.35,12.2411
pressure,45,251.08,12.2056
pressure,45,252.81,12.2056
pressure,45,254.55,12.1878
pressure,45,256.28,12.1701
pressure,45,258.01,12.1701
pressure,45,259.74,12.1345
pressure,45,261.47,12.1345
pressure,45,263.20,12.1168
pressure,45,264.94,12.0990
pressure,45,266.67,12.0990
pressure,45,268.40,12.0635
pressure,45,270.13,12.0635
pressure,45,271.86,12.0457
pressure,45,273.59,12.0279
pressure,45,275.32,12.0279
pressure,45,277.06,11.9924
pressure,45,278.79,11.9924
pressure,45,280.52,11.9569
pressure,45,282.25,11.9569
pressure,45,283.98,11.9569
pressure,45,285.71,11.9213
pressure,45,287.45,11.9213
pressure,45,289.18,11.8858
pressure,45,290.91,11.8858
pressure,45,292.64,11.8680
pressure,45,294.37,11.8503
pressure,45,296.10,11.8325
pressure,45,297.84,11.8147
pressure,45,299.57,11.8147
pressure,45,301.30,11.7792
pressure,45,303.03,11.7792
