# Digitized traces from Genet et al. (2023), their Fig 7 (internal volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,58,553.97,0.4871
pressure,58,555.65,0.4871
pressure,58,557.32,0.4871
pressure,58,559.00,0.5052
pressure,58,560.67,0.5052
pressure,58,562.34,0.5052
pressure,58,564.02,0.5052
pressure,58,565.69,0.5052
pressure,58,567.36,0.5052
pressure,58,569.04,0.5052
pressure,58,570.71,0.5052
pressure,58,572.38,0.5052
pressure,58,574.06,0.5052
pressure,58,575.73,0.5232
pressure,58,577.41,0.5232
pressure,58,579.08,0.5232
pressure,58,580.75,0.5232
pressure,58,582.43,0.5232
pressure,58,584.10,0.5232
pressure,58,585.77,0.5232
pressure,58,587.45,0.5232
pressure,58,589.12,0.5232
pressure,58,590.79,0.5232
pressure,58,592.47,0.5232
pressure,58,594.14,0.5232
pressure,58,595.82,0.5232
pressure,58,597.49,0.5232
pressure,58,599.16,0.5412
pressure,58,600.84,0.5412
pressure,58,602.51,0.5412
pressure,58,604.18,0.5412
pressure,58,605.86,0.5412
pressure,58,607.53,0.5412
pressure,58,609.21,0.5412
pressure,58,610.88,0.5412
pressure,58,612.55,0.5412
pressure,58,614.23,0.5412
pressure,58,615.90,0.5412
pressure,58,617.57,0.5412
pressure,58,619.25,0.5412
pressure,58,620.92,0.5412
pressure,58,622.59,0.5412
pressure,58,624.27,0.5412
pressure,58,625.94,0.5412
pressure,58,627.62,0.5412
pressure,58,629.29,0.5412
pressure,58,630.96,0.5412
pressure,58,632.64,0.5412
pressure,58,634.31,0.5412
pressure,58,635.98,0.5412
pressure,58,637.66,0.5412
pressure,58,639.33,0.5412
pressure,58,641.00,0.5412
pressure,58,642.68,0.5412
pressure,58,644.35,0.5412
pressure,58,646.03,0.5412
pressure,58,647.70,0.5412
pressure,58,649.37,0.5412
pressure,58,651.05,0.5412
pressure,58,652.72,0.5412
pressure,58,654.39,0.5412
pressure,58,656.07,0.5412
