# Digitized trace from Genet et al. (2023), "Reduced left ventricular dynamics
#   modeling based on a cylindrical assumption", Int. J. Numer. Meth. Biomed.
#   Engng.; their Figure 5 (baseline beat). Extracted from the published figure
#   by dark-pixel segmentation (provenance/reproduction; no image in the repo).
time_ms,pressure_kPa,pressure_mmHg,volume_mL,torsion_deg
207,12.4501,93.383,124.5613,15.8058
208,12.4892,93.677,124.1494,15.9037
209,12.5257,93.950,123.7375,16.0067
210,12.5463,94.105,123.3256,16.1096
211,12.5668,94.259,122.9136,16.2126
212,12.5874,94.414,122.5017,16.3156
213,12.6080,94.568,122.2734,16.4186
214,12.6286,94.723,122.0219,16.5102
215,12.6492,94.877,121.6100,16.5617
216,12.6585,94.946,121.1980,16.6131
217,12.6585,94.946,120.7861,16.6646
218,12.6766,95.083,120.5557,16.7615
219,12.6972,95.237,120.3063,16.8645
220,12.7178,95.391,119.8943,16.9674
221,12.7273,95.462,119.4824,17.0704
222,12.7273,95.462,119.0705,17.1734
223,12.7273,95.462,118.6586,17.1867
224,12.7273,95.462,118.2880,17.2074
225,12.7273,95.462,118.0820,17.3104
226,12.7382,95.544,117.7668,17.4133
227,12.7588,95.699,117.3549,17.5163
228,12.7617,95.720,116.9430,17.5307
229,12.7617,95.720,116.5702,17.5503
230,12.7617,95.720,116.3643,17.6533
231,12.7724,95.801,116.0512,17.7562
232,12.7930,95.955,115.6393,17.8592
233,12.7961,95.978,115.2274,17.8747
234,12.7961,95.978,114.8155,17.8932
235,12.7961,95.978,114.4036,17.9962
236,12.7961,95.978,114.0966,18.0729
237,12.7961,95.978,113.8906,18.1244
238,12.7961,95.978,113.5118,18.1759
239,12.7961,95.978,113.1347,18.2274
240,12.7961,95.978,112.9287,18.2789
241,12.7961,95.978,112.6200,18.3304
242,12.7961,95.978,112.2081,18.3818
243,12.7961,95.978,111.7962,18.4760
244,12.7961,95.978,111.3843,18.5627
245,12.7961,95.978,110.9724,18.5627
246,12.7860,95.903,110.6611,18.6130
247,12.7654,95.749,110.4551,18.7159
248,12.7617,95.720,110.2491,18.7346
249,12.7617,95.720,110.0127,18.7499
250,12.7617,95.720,109.6007,18.8529
251,12.7617,95.720,109.1888,18.9066
252,12.7617,95.720,108.7769,18.9066
253,12.7617,95.720,108.5314,18.9482
254,12.7588,95.699,108.3254,18.9997
255,12.7382,95.545,108.1195,19.0512
256,12.7273,95.462,107.8172,19.0786
257,12.7273,95.462,107.4053,19.0786
258,12.7273,95.462,106.9934,19.1607
259,12.7273,95.462,106.5814,19.2506
260,12.7273,95.462,106.1695,19.2506
261,12.7273,95.462,105.9459,19.2506
262,12.7273,95.462,105.9459,19.2506
263,12.7273,95.462,105.6217,19.3317
264,12.7273,95.462,105.2098,19.4226
265,12.7273,95.462,104.7979,19.4226
266,12.7273,95.462,104.3860,19.4226
267,12.7273,95.462,103.9741,19.4226
268,12.7113,95.342,103.7221,19.5026
269,12.6929,95.204,103.5162,19.5946
270,12.6929,95.204,103.3102,19.5946
271,12.6929,95.204,103.0144,19.5946
272,12.6929,95.204,102.6025,19.5946
273,12.6771,95.086,102.1905,19.5946
274,12.6585,94.946,101.8182,19.6045
275,12.6585,94.946,101.8182,19.7075
276,12.6585,94.946,101.6428,19.7666
277,12.6585,94.946,101.2308,19.7666
278,12.6585,94.946,100.8189,19.7666
279,12.6585,94.946,100.4070,19.7666
280,12.6585,94.946,99.9951,19.7666
281,12.6585,94.946,99.7543,19.7880
282,12.6585,94.946,99.7543,19.8395
283,12.6585,94.946,99.4473,19.8910
284,12.6569,94.935,99.0354,19.9386
285,12.6363,94.780,98.6235,19.9386
286,12.6241,94.688,98.3784,19.9386
287,12.6241,94.688,98.3784,19.9386
288,12.6241,94.688,98.0757,19.9386
289,12.6227,94.678,97.6638,19.9386
290,12.6021,94.524,97.2518,19.9386
291,12.5897,94.430,96.9212,19.9386
292,12.5897,94.430,96.7152,19.9386
293,12.5897,94.430,96.5093,19.9386
294,12.5897,94.430,96.2921,19.9414
295,12.5897,94.430,95.8802,19.9929
296,12.5897,94.430,95.5474,20.0246
297,12.5897,94.430,95.3415,20.0246
298,12.5897,94.430,95.1355,20.0246
299,12.5897,94.430,94.9386,20.0246
300,12.5897,94.430,94.9386,20.0246
301,12.5897,94.430,94.7846,20.0438
302,12.5897,94.430,94.3727,20.0953
303,12.5752,94.322,93.9608,20.1106
304,12.5553,94.172,93.5489,20.1106
305,12.5553,94.172,93.1370,20.1106
306,12.5478,94.116,92.7999,20.0919
307,12.5272,93.962,92.5939,20.0404
308,12.5209,93.914,92.3880,20.0246
309,12.5209,93.914,92.1773,20.0246
310,12.5209,93.914,91.7654,20.0246
311,12.5209,93.914,91.4988,20.0246
312,12.5209,93.914,91.4988,20.0246
313,12.5209,93.914,91.2176,20.0246
314,12.5209,93.914,90.8082,20.0246
315,12.5209,93.914,90.6023,20.0246
316,12.5209,93.914,90.3963,20.0246
317,12.5209,93.914,90.1904,20.0246
318,12.5070,93.811,89.8459,19.9900
319,12.4865,93.656,89.4345,19.9386
320,12.4865,93.656,89.2285,19.9386
321,12.4796,93.605,89.0225,19.9386
322,12.4591,93.451,88.8166,19.9386
323,12.4521,93.398,88.6106,19.9386
324,12.4521,93.398,88.4047,19.9386
325,12.4521,93.398,88.1987,19.9386
326,12.4521,93.398,87.9265,19.9386
327,12.4521,93.398,87.5146,19.9386
328,12.4521,93.398,87.2369,19.9386
329,12.4521,93.398,87.0309,19.9386
330,12.4521,93.398,86.8249,19.8881
331,12.4393,93.302,86.6190,19.8526
332,12.3981,92.993,86.4130,19.8526
333,12.3833,92.882,86.2071,19.8526
334,12.3833,92.882,86.0011,19.8526
335,12.3833,92.882,85.5952,19.8026
336,12.3771,92.836,85.2452,19.7666
337,12.3565,92.681,85.0393,19.7666
338,12.3359,92.527,84.8333,19.7666
339,12.3153,92.372,84.6273,19.7666
340,12.3145,92.366,84.4214,19.7666
341,12.3025,92.277,84.2154,19.7666
342,12.2614,91.968,84.0095,19.7666
343,12.2457,91.850,83.8035,19.7666
344,12.2457,91.850,83.5975,19.7666
345,12.2261,91.704,83.3916,19.7666
346,12.2055,91.549,83.1856,19.7666
347,12.1849,91.395,82.9797,19.7666
348,12.1643,91.240,82.7737,19.7352
349,12.1438,91.086,82.5678,19.6837
350,12.1232,90.931,82.3618,19.6806
351,12.1026,90.777,82.1558,19.6806
352,12.0820,90.622,81.9499,19.6806
353,12.0614,90.468,81.7439,19.6806
354,12.0408,90.313,81.5380,19.6806
355,12.0202,90.159,81.3320,19.6806
356,11.9996,90.004,81.1260,19.6806
357,11.9790,89.850,80.9201,19.6806
358,11.9584,89.695,80.7141,19.6806
359,11.9378,89.541,80.5082,19.6806
360,11.9172,89.386,80.3022,19.6333
361,11.8966,89.232,80.0963,19.5946
362,11.8760,89.077,79.8903,19.5946
363,11.8554,88.923,79.8034,19.5946
364,11.8348,88.768,79.8034,19.5946
365,11.8142,88.614,79.4294,19.5946
366,11.7936,88.459,79.1155,19.5946
367,11.7730,88.305,79.1155,19.5946
368,11.7407,88.063,78.9985,19.5946
369,11.6995,87.754,78.7926,19.5946
370,11.6768,87.584,78.5866,19.5946
371,11.6562,87.429,78.4275,19.5946
372,11.6357,87.275,78.4275,19.5946
373,11.6151,87.120,78.1979,19.6233
374,11.5945,86.966,77.7860,19.6748
375,11.5739,86.811,77.7396,19.6806
376,11.5488,86.623,77.6948,19.6806
377,11.5076,86.314,77.4889,19.6806
378,11.4777,86.090,77.2829,19.6806
379,11.4571,85.935,77.0770,19.6806
380,11.4365,85.781,77.0516,19.6806
381,11.4116,85.594,77.0090,19.6806
382,11.3704,85.285,76.8031,19.6806
383,11.3514,85.142,76.5971,19.6806
384,11.3514,85.142,76.3912,19.6806
385,11.3157,84.874,76.3636,19.7252
386,11.2745,84.566,76.3636,19.7666
387,11.2333,84.257,76.3636,19.7666
388,11.2138,84.110,76.1469,19.7666
389,11.2138,84.110,75.7350,19.7666
390,11.1785,83.846,75.6757,19.7666
391,11.1373,83.537,75.6757,19.7666
392,11.0961,83.228,75.6757,19.7666
393,11.0549,82.919,75.4633,19.7666
394,11.0137,82.610,75.0514,19.7666
395,11.0074,82.562,74.9877,19.7666
396,11.0001,82.508,74.9877,19.7756
397,10.9590,82.199,74.9877,19.8271
398,10.9178,81.890,74.9877,19.8786
399,10.8766,81.581,74.9877,19.9301
400,10.8698,81.530,74.9877,19.9386
401,10.8630,81.479,74.9877,19.9386
402,10.8218,81.170,74.9877,19.9386
403,10.7704,80.785,74.7839,19.9641
404,10.7086,80.321,74.3720,20.0155
405,10.6468,79.858,74.2998,20.0246
406,10.5819,79.371,74.2679,20.0246
407,10.4995,78.753,74.0620,20.0246
408,10.3971,77.985,73.9558,20.0495
409,10.2736,77.058,73.9558,20.1010
410,10.1165,75.880,73.9558,20.1106
411,9.9458,74.599,73.9558,20.1106
412,9.7398,73.055,73.9558,20.1106
413,9.5338,71.510,73.9558,20.1106
414,9.3279,69.965,73.9558,20.1106
415,9.0557,67.923,73.9558,20.1106
416,8.7701,65.781,73.9558,20.1106
417,8.5024,63.773,73.9558,20.1106
418,8.2251,61.693,73.9558,20.0867
419,7.9367,59.531,73.9558,20.0352
420,7.6647,57.490,73.9558,20.0246
421,7.3995,55.501,73.9558,20.0182
422,7.1524,53.647,73.9558,19.9667
423,6.9052,51.794,73.9558,19.9386
424,6.6581,49.940,73.9558,19.9386
425,6.4271,48.207,73.9558,19.9386
426,6.2051,46.542,73.9558,19.9386
427,6.0198,45.152,73.9558,19.9386
428,5.8162,43.625,73.9558,19.9386
429,5.5896,41.926,73.9558,19.9386
430,5.3949,40.465,73.9558,19.8988
431,5.2116,39.091,73.9558,19.8473
432,5.0469,37.855,73.9558,19.7958
433,4.8821,36.619,73.9558,19.7666
434,4.7173,35.383,73.9558,19.7666
435,4.5526,34.147,73.9558,19.7666
436,4.3878,32.911,73.9558,19.7666
437,4.2230,31.675,73.9558,19.7666
438,4.0757,30.570,73.9558,19.7449
439,3.9521,29.643,73.9558,19.6934
440,3.8285,28.716,73.9558,19.6419
441,3.7032,27.777,73.9558,19.5946
442,3.5591,26.695,73.9558,19.5946
443,3.4234,25.677,73.9558,19.5946
444,3.2998,24.751,73.9558,19.5946
445,3.1915,23.938,73.9558,19.5564
446,3.0885,23.166,73.9558,19.5049
447,2.9855,22.393,73.9558,19.4535
448,2.8826,21.621,73.9558,19.4226
449,2.7796,20.849,73.9558,19.4226
450,2.6916,20.189,73.9558,19.4226
451,2.6080,19.562,73.9558,19.4195
452,2.5050,18.789,73.9558,19.3680
453,2.4181,18.138,73.9558,19.3165
454,2.3564,17.674,73.9558,19.2650
455,2.2649,16.988,73.9558,19.2506
456,2.1640,16.231,73.9558,19.2506
457,2.1022,15.768,73.9558,19.2506
458,2.0326,15.246,73.9558,19.2115
459,1.9502,14.628,73.9558,19.1085
460,1.8824,14.119,73.9558,19.0786
461,1.8206,13.656,73.9558,19.0786
462,1.7589,13.193,73.9558,19.0786
463,1.7047,12.786,73.9558,19.0406
464,1.6635,12.477,73.9558,18.9376
465,1.5935,11.952,73.9558,18.9066
466,1.5123,11.343,73.9558,18.9066
467,1.4711,11.034,73.9558,18.9066
468,1.4299,10.725,73.9558,18.8697
469,1.3887,10.416,73.9558,18.7667
470,1.3475,10.107,73.9558,18.7346
471,1.3060,9.796,73.9558,18.7346
472,1.2442,9.332,73.9558,18.7346
473,1.1896,8.923,73.9558,18.6987
474,1.1484,8.614,73.9558,18.5958
475,1.1072,8.305,73.9558,18.5627
476,1.0662,7.997,73.9558,18.5627
477,1.0456,7.842,73.9558,18.5627
478,1.0180,7.636,73.9558,18.5278
