# Digitized traces from Genet et al. (2023), their Fig 6 (aspect ratio  L/2R_i).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,1.5,30.13,0.8840
pressure,1.5,31.80,0.8840
pressure,1.5,33.47,0.8840
pressure,1.5,35.15,0.8840
pressure,1.5,36.82,0.8840
pressure,1.5,38.49,0.8840
pressure,1.5,40.17,0.8840
pressure,1.5,41.84,0.8840
pressure,1.5,43.51,0.8840
pressure,1.5,45.19,0.8840
pressure,1.5,46.86,0.8840
pressure,1.5,48.54,0.8840
pressure,1.5,50.21,0.8840
pressure,1.5,51.88,0.8840
pressure,1.5,53.56,0.8840
pressure,1.5,55.23,0.8840
pressure,1.5,56.90,0.8840
pressure,1.5,58.58,0.8840
pressure,1.5,60.25,0.8840
pressure,1.5,61.92,0.8840
pressure,1.5,63.60,0.8840
pressure,1.5,65.27,0.8840
pressure,1.5,66.95,0.8840
pressure,1.5,68.62,0.8840
pressure,1.5,70.29,0.8840
pressure,1.5,71.97,0.8840
pressure,1.5,73.64,0.8840
pressure,1.5,75.31,0.8840
pressure,1.5,76.99,0.8840
pressure,1.5,78.66,0.8840
pressure,1.5,80.33,0.8840
pressure,1.5,82.01,0.8840
pressure,1.5,83.68,0.8840
pressure,1.5,85.36,0.8840
pressure,1.5,87.03,0.8840
pressure,1.5,88.70,0.8840
pressure,1.5,90.38,0.8840
pressure,1.5,92.05,0.8840
pressure,1.5,93.72,0.8840
pressure,1.5,95.40,0.8840
pressure,1.5,97.07,0.8840
pressure,1.5,98.74,0.8840
pressure,1.5,100.42,0.8840
pressure,1.5,102.09,0.8840
pressure,1.5,103.77,0.8840
pressure,1.5,105.44,0.8840
pressure,1.5,107.11,0.8840
pressure,1.5,108.79,0.8840
pressure,1.5,110.46,0.8840
pressure,1.5,112.13,0.8840
pressure,1.5,113.81,0.8840
pressure,1.5,115.48,0.8840
pressure,1.5,117.15,0.8840
pressure,1.5,118.83,0.8840
pressure,1.5,120.50,0.8840
pressure,1.5,122.18,0.8840
pressure,1.5,123.85,0.8840
pressure,1.5,125.52,0.8840
pressure,1.5,127.20,0.9021
pressure,1.5,128.87,0.9381
pressure,1.5,130.54,1.0103
pressure,1.5,132.22,1.1005
pressure,1.5,133.89,1.1907
pressure,1.5,135.56,1.3170
pressure,1.5,137.24,1.4613
pressure,1.5,138.91,1.6418
pressure,1.5,140.59,1.8222
pressure,1.5,142.26,2.0206
pressure,1.5,143.93,2.2552
pressure,1.5,145.61,2.4716
pressure,1.5,147.28,2.7062
pressure,1.5,148.95,2.9588
pressure,1.5,150.63,3.2294
pressure,1.5,152.30,3.5000
pressure,1.5,153.97,3.7526
pressure,1.5,155.65,4.0232
pressure,1.5,157.32,4.3119
pressure,1.5,159.00,4.5825
pressure,1.5,160.67,4.8711
pressure,1.5,162.34,5.1418
pressure,1.5,164.02,5.4304
pressure,1.5,165.69,5.7371
pressure,1.5,167.36,6.0077
pressure,1.5,169.04,6.3144
pressure,1.5,170.71,6.5851
pressure,1.5,172.38,6.8737
pressure,1.5,174.06,7.1624
pressure,1.5,175.73,7.4510
pressure,1.5,177.41,7.7216
pressure,1.5,179.08,7.9923
pressure,1.5,180.75,8.2629
pressure,1.5,182.43,8.5515
pressure,1.5,184.10,8.8222
pressure,1.5,185.77,9.0928
pressure,1.5,187.45,9.3814
pressure,1.5,189.12,9.6521
pressure,1.5,190.79,9.9046
pressure,1.5,192.47,10.1572
pressure,1.5,194.14,10.4098
pressure,1.5,195.82,10.6443
pressure,1.5,197.49,10.8608
pressure,1.5,199.16,11.0773
pressure,1.5,200.84,11.2577
pressure,1.5,202.51,11.4381
pressure,1.5,204.18,11.6005
pressure,1.5,205.86,11.7809
pressure,1.5,207.53,11.9072
pressure,1.5,209.21,12.0155
pressure,1.5,210.88,12.1418
pressure,1.5,212.55,12.2139
pressure,1.5,214.23,12.3041
pressure,1.5,215.90,12.3763
pressure,1.5,217.57,12.4485
pressure,1.5,219.25,12.5026
pressure,1.5,220.92,12.5387
pressure,1.5,222.59,12.5928
pressure,1.5,224.27,12.6289
pressure,1.5,225.94,12.6649
pressure,1.5,227.62,12.6830
pressure,1.5,229.29,12.7191
pressure,1.5,230.96,12.7191
pressure,1.5,232.64,12.7552
pressure,1.5,234.31,12.7552
pressure,1.5,235.98,12.7732
pressure,1.5,237.66,12.7912
pressure,1.5,239.33,12.7912
pressure,1.5,241.00,12.7912
pressure,1.5,242.68,12.7912
pressure,1.5,244.35,12.7912
pressure,1.5,246.03,12.8093
pressure,1.5,247.70,12.8093
pressure,1.5,249.37,12.8093
pressure,1.5,251.05,12.8093
pressure,1.5,252.72,12.7912
pressure,1.5,254.39,12.7912
pressure,1.5,256.07,12.7912
pressure,1.5,257.74,12.7912
pressure,1.5,259.41,12.7912
pressure,1.5,261.09,12.7732
pressure,1.5,262.76,12.7732
pressure,1.5,264.44,12.7552
pressure,1.5,266.11,12.7552
pressure,1.5,267.78,12.7552
pressure,1.5,269.46,12.7552
pressure,1.5,271.13,12.7552
pressure,1.5,272.80,12.7371
pressure,1.5,274.48,12.7371
pressure,1.5,276.15,12.7191
pressure,1.5,277.82,12.7191
pressure,1.5,279.50,12.7191
pressure,1.5,281.17,12.7010
pressure,1.5,282.85,12.6830
pressure,1.5,284.52,12.6830
pressure,1.5,286.19,12.6830
pressure,1.5,287.87,12.6830
pressure,1.5,289.54,12.6649
pressure,1.5,291.21,12.6649
pressure,1.5,292.89,12.6469
pressure,1.5,294.56,12.6469
pressure,1.5,296.23,12.6469
pressure,1.5,297.91,12.6289
pressure,1.5,299.58,12.6289
pressure,1.5,301.26,12.6108
pressure,1.5,302.93,12.6108
pressure,1.5,304.60,12.6108
pressure,1.5,306.28,12.5928
pressure,1.5,307.95,12.5747
pressure,1.5,309.62,12.5747
pressure,1.5,311.30,12.5747
pressure,1.5,312.97,12.5567
pressure,1.5,314.64,12.5387
pressure,1.5,316.32,12.5387
pressure,1.5,317.99,12.5387
pressure,1.5,319.67,12.5206
pressure,1.5,321.34,12.5026
pressure,1.5,323.01,12.5026
pressure,1.5,324.69,12.5026
pressure,1.5,326.36,12.5026
pressure,1.5,328.03,12.4845
pressure,1.5,329.71,12.4845
pressure,1.5,331.38,12.4665
pressure,1.5,333.05,12.4665
pressure,1.5,334.73,12.4304
pressure,1.5,336.40,12.4304
pressure,1.5,338.08,12.4124
pressure,1.5,339.75,12.3943
pressure,1.5,341.42,12.3582
pressure,1.5,343.10,12.3402
pressure,1.5,344.77,12.3222
pressure,1.5,346.44,12.2861
pressure,1.5,348.12,12.2680
pressure,1.5,349.79,12.2320
pressure,1.5,351.46,12.1959
pressure,1.5,353.14,12.1598
pressure,1.5,354.81,12.1237
pressure,1.5,356.49,12.0876
pressure,1.5,358.16,12.0515
pressure,1.5,359.83,12.0155
pressure,1.5,361.51,11.9794
pressure,1.5,363.18,11.9433
pressure,1.5,364.85,11.9072
pressure,1.5,366.53,11.8711
pressure,1.5,368.20,11.8351
pressure,1.5,369.87,11.7809
pressure,1.5,371.55,11.7448
pressure,1.5,373.22,11.6907
pressure,1.5,374.90,11.6546
pressure,1.5,376.57,11.6186
pressure,1.5,378.24,11.5825
pressure,1.5,379.92,11.5284
pressure,1.5,381.59,11.4923
pressure,1.5,383.26,11.4381
pressure,1.5,384.94,11.3840
pressure,1.5,386.61,11.3479
pressure,1.5,388.28,11.2938
pressure,1.5,389.96,11.2397
pressure,1.5,391.63,11.2036
pressure,1.5,393.31,11.1314
pressure,1.5,394.98,11.0954
pressure,1.5,396.65,11.0412
pressure,1.5,398.33,10.9871
pressure,1.5,400.00,10.9330
pressure,1.5,401.67,10.8789
pressure,1.5,403.35,10.8247
pressure,1.5,405.02,10.7706
pressure,1.5,406.69,10.7165
pressure,1.5,408.37,10.5722
pressure,1.5,410.04,10.4278
pressure,1.5,411.72,10.2113
pressure,1.5,413.39,9.8866
pressure,1.5,415.06,9.5438
pressure,1.5,416.74,9.1108
pressure,1.5,418.41,8.6598
pressure,1.5,420.08,8.1907
pressure,1.5,421.76,7.6675
pressure,1.5,423.43,7.2345
pressure,1.5,425.10,6.8196
pressure,1.5,426.78,6.4046
pressure,1.5,428.45,6.0258
pressure,1.5,430.13,5.6649
pressure,1.5,431.80,5.3222
pressure,1.5,433.47,5.0335
pressure,1.5,435.15,4.7088
pressure,1.5,436.82,4.4201
pressure,1.5,438.49,4.1675
pressure,1.5,440.17,3.9330
pressure,1.5,441.84,3.6804
pressure,1.5,443.51,3.4639
pressure,1.5,445.19,3.2474
pressure,1.5,446.86,3.0670
pressure,1.5,448.54,2.8866
pressure,1.5,450.21,2.7062
pressure,1.5,451.88,2.5438
pressure,1.5,453.56,2.3995
pressure,1.5,455.23,2.2552
pressure,1.5,456.90,2.1289
pressure,1.5,458.58,1.9845
pressure,1.5,460.25,1.8582
pressure,1.5,461.92,1.7680
pressure,1.5,463.60,1.6418
pressure,1.5,465.27,1.5335
pressure,1.5,466.95,1.4613
pressure,1.5,468.62,1.3711
pressure,1.5,470.29,1.2990
pressure,1.5,471.97,1.2088
pressure,1.5,473.64,1.1366
pressure,1.5,475.31,1.0644
pressure,1.5,476.99,1.0103
pressure,1.5,478.66,0.9381
pressure,1.5,480.33,0.8840
pressure,1.5,482.01,0.8299
pressure,1.5,483.68,0.7758
pressure,1.5,485.36,0.7397
pressure,1.5,487.03,0.6856
pressure,1.5,488.70,0.6495
pressure,1.5,490.38,0.6134
pressure,1.5,492.05,0.5773
pressure,1.5,493.72,0.5593
pressure,1.5,495.40,0.5412
pressure,1.5,497.07,0.5412
pressure,1.5,498.74,0.5232
pressure,1.5,500.42,0.5232
pressure,1.5,502.09,0.5232
pressure,1.5,503.77,0.5232
pressure,1.5,505.44,0.5052
pressure,1.5,507.11,0.5052
pressure,1.5,508.79,0.5052
pressure,1.5,510.46,0.4871
pressure,1.5,512.13,0.4871
pressure,1.5,513.81,0.4871
pressure,1.5,515.48,0.4871
pressure,1.5,517.15,0.4871
pressure,1.5,518.83,0.4871
pressure,1.5,520.50,0.4871
pressure,1.5,522.18,0.4871
pressure,1.5,523.85,0.4871
pressure,1.5,525.52,0.4871
pressure,1.5,527.20,0.4871
