# Digitized traces from Genet et al. (2023), their Fig 8 (wall volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,117,511.16,0.5052
pressure,117,512.91,0.5052
pressure,117,514.66,0.5052
pressure,117,516.41,0.5052
pressure,117,518.16,0.4871
pressure,117,519.91,0.4871
pressure,117,521.66,0.4871
pressure,117,523.41,0.4871
pressure,117,525.16,0.4871
pressure,117,526.91,0.4871
pressure,117,528.67,0.4871
pressure,117,530.42,0.4691
pressure,117,532.17,0.4691
pressure,117,533.92,0.4691
pressure,117,535.67,0.4691
pressure,117,537.42,0.4691
pressure,117,539.17,0.4691
pressure,117,540.92,0.4871
pressure,117,542.67,0.4871
pressure,117,544.42,0.4871
pressure,117,546.17,0.4871
pressure,117,547.92,0.4871
pressure,117,549.67,0.4871
pressure,117,551.42,0.4871
pressure,117,553.17,0.4871
pressure,117,554.92,0.4871
pressure,117,556.67,0.4871
pressure,117,558.42,0.4871
pressure,117,560.18,0.5052
pressure,117,561.93,0.5052
pressure,117,563.68,0.5052
pressure,117,565.43,0.5052
pressure,117,567.18,0.5052
pressure,117,568.93,0.5052
pressure,117,570.68,0.5232
pressure,117,572.43,0.5232
pressure,117,574.18,0.5232
pressure,117,575.93,0.5232
pressure,117,577.68,0.5232
pressure,117,579.43,0.5232
pressure,117,581.18,0.5232
pressure,117,582.93,0.5232
pressure,117,584.68,0.5232
pressure,117,586.43,0.5232
pressure,117,588.18,0.5412
pressure,117,589.93,0.5412
pressure,117,591.68,0.5412
pressure,117,593.44,0.5412
pressure,117,595.19,0.5412
pressure,117,596.94,0.5412
pressure,117,598.69,0.5412
pressure,117,600.44,0.5412
pressure,117,602.19,0.5412
pressure,117,603.94,0.5412
pressure,117,605.69,0.5412
pressure,117,607.44,0.5412
pressure,117,609.19,0.5412
pressure,117,610.94,0.5412
pressure,117,612.69,0.5412
